mews_name,mews_clean,lon,lat,type,loctype,address,north,south,east,west
lennox-gardens-mews,"Lennox Gardens Mews, London",-0.1641726,51.4952361,route,geometric_center,"lennox gardens mews, chelsea, london sw3, uk",51.4967182802915,51.4940203197085,-0.162565819708498,-0.165263780291502
wythburn-place,"Wythburn Place, London",-0.1605699,51.5157736,route,geometric_center,"wythburn pl, marylebone, london w1h, uk",51.5170680302915,51.5143700697085,-0.159478869708498,-0.162176830291502
wyndham-mews,"Wyndham Mews, London",-0.1605873,51.519069,route,geometric_center,"wyndham mews, marylebone, london w1h, uk",51.5204360802915,51.5177381197085,-0.159118719708498,-0.161816680291502
woodstock-mews,"Woodstock Mews, London",-0.1498302,51.5199368,route,geometric_center,"woodstock mews, marylebone, london, uk",51.5212716302915,51.5185736697085,-0.148479469708498,-0.151177430291502
woodfall-street,"Woodfall Street, London",-0.1622473,51.4887248,route,geometric_center,"woodfall st, chelsea, london sw3, uk",51.4900909302915,51.4873929697085,-0.160885169708498,-0.163583130291502
woods-mews,"Woods Mews, London",-0.1560318,51.511767,route,geometric_center,"wood's mews, mayfair, london, uk",51.5130909302915,51.5103929697085,-0.154881619708498,-0.157579580291502
wolsey-mews,"Wolsey Mews, London",-0.1405248,51.5487999,route,geometric_center,"wolsey mews, kentish town, london nw5, uk",51.5501403302915,51.5474423697085,-0.139145219708498,-0.141843180291502
wimpole-mews,"Wimpole Mews, London",-0.148271,51.5200436,route,geometric_center,"wimpole mews, marylebone, london w1g, uk",51.5211914802915,51.5184935197085,-0.146859069708498,-0.149557030291502
wilton-row,"Wilton Row, London",-0.1545882,51.5013638,route,geometric_center,"wilton row, belgravia, london sw1x, uk",51.5024177302915,51.4997197697085,-0.153329769708498,-0.156027730291502
wilton-mews-westminster,"Wilton Mews Westminster, London",-0.1501329,51.4986381,route,geometric_center,"wilton mews, belgravia, london sw1x, uk",51.4999597302915,51.4972617697085,-0.148744519708498,-0.151442480291502
wilby-mews,"Wilby Mews, London",-0.2028907,51.5093023,route,geometric_center,"wilby mews, notting hill, london w11, uk",51.5106277302915,51.5079297697085,-0.201609319708498,-0.204307280291502
wigmore-place,"Wigmore Place, London",-0.1469298,51.5170813,route,geometric_center,"wigmore pl, marylebone, london, uk",51.5185184802915,51.5158205197085,-0.145603869708498,-0.148301830291502
whidborne-street,"Whidborne Street, London",-0.1233802,51.5283134,route,geometric_center,"whidborne st, london wc1h, uk",51.5295167302915,51.5268187697085,-0.121940369708498,-0.124638330291502
weymouth-mews,"Weymouth Mews, London",-0.1463791,51.5201438,route,geometric_center,"weymouth mews, marylebone, london w1g, uk",51.5215226802915,51.5188247197085,-0.144981519708498,-0.147679480291502
wetherby-mews,"Wetherby Mews, London",-0.1902259,51.4899802,route,geometric_center,"wetherby mews, earl's court, london sw5, uk",51.4914447802915,51.4887468197085,-0.188669519708498,-0.191367480291502
western-mews,"Western Mews, London",-0.201263,51.5238025,route,geometric_center,"western mews, maida hill, london w9, uk",51.5250139302915,51.5223159697085,-0.200103219708498,-0.202801180291502
westbourne-grove-mews,"Westbourne Grove Mews, London",-0.1976168,51.5145214,route,geometric_center,"westbourne grove mews, notting hill, london w11, uk",51.5158829302915,51.5131849697085,-0.196424619708498,-0.199122580291502
west-hampstead-mews,"West Hampstead Mews, London",-0.1904735,51.5458563,route,geometric_center,"w hampstead mews, west hampstead, london nw6, uk",51.5474611302915,51.5447631697085,-0.189118319708498,-0.191816280291502
west-eaton-place-mews,"West Eaton Place Mews, London",-0.1560513,51.4949004,route,geometric_center,"w eaton place mews, belgravia, london sw1x, uk",51.4961648802915,51.4934669197085,-0.154569119708498,-0.157267080291502
welbeck-way,"Welbeck Way, London",-0.1484487,51.5171335,route,geometric_center,"welbeck way, marylebone, london, uk",51.5185622802915,51.5158643197085,-0.147097469708498,-0.149795430291502
wavel-mews,"Wavel Mews, London",-0.1903937,51.5415366,route,geometric_center,"wavel mews, london nw6, uk",51.5430639802915,51.5403660197085,-0.189088919708498,-0.191786880291502
warwick-square-mews,"Warwick Square Mews, London",-0.1420188,51.4911793,route,geometric_center,"warwick square mews, pimlico, london sw1v, uk",51.4926212302915,51.4899232697085,-0.140623769708498,-0.143321730291502
warren-mews,"Warren Mews, London",-0.1417239,51.5233503,route,geometric_center,"warren mews, fitzrovia, london w1w, uk",51.5246904302915,51.5219924697085,-0.140349569708498,-0.143047530291502
walpole-mews,"Walpole Mews, London",-0.1749045,51.5366834,route,geometric_center,"walpole mews, st john's wood, london nw8, uk",51.5380593802915,51.5353614197085,-0.173542519708498,-0.176240480291502
victoria-mews-brent,"Victoria Mews Brent, London",-0.1976177,51.5392522,route,geometric_center,"victoria mews, north maida vale, london nw6, uk",51.5404647302915,51.5377667697085,-0.196402869708498,-0.199100830291502
victoria-grove-mews,"Victoria Grove Mews, London",-0.1924485,51.510159,route,geometric_center,"victoria grove mews, bayswater, london, uk",51.5116406802915,51.5089427197085,-0.191194669708498,-0.193892630291502
vernon-yard,"Vernon Yard, London",-0.2039912,51.5138466,route,geometric_center,"vernon yard, notting hill, london w11, uk",51.5152763302915,51.5125783697085,-0.202471569708498,-0.205169530291502
upbrook-mews,"Upbrook Mews, London",-0.1798193,51.5141955,route,geometric_center,"upbrook mews, bayswater, london w2, uk",51.5155621302915,51.5128641697085,-0.178598269708498,-0.181296230291502
turnchapel-mews,"Turnchapel Mews, London",-0.1497294,51.4659994,route,geometric_center,"turnchapel mews, clapham town, london sw8 3jl, uk",51.4672874802915,51.4645895197085,-0.148712319708498,-0.151410280291502
tottenham-mews,"Tottenham Mews, London",-0.1370184,51.5200902,route,geometric_center,"tottenham mews, fitzrovia, london w1w, uk",51.5214924302915,51.5187944697085,-0.135760119708498,-0.138458080291502
thurloe-place-mews,"Thurloe Place Mews, London",-0.1741627,51.4951592,route,geometric_center,"thurloe place mews, south kensington, london sw7, uk",51.4964988802915,51.4938009197085,-0.172662519708498,-0.175360480291502
three-kings-yard,"Three Kings Yard, London",-0.1480596,51.5121487,route,geometric_center,"three kings' yard, mayfair, london w1k, uk",51.5133883802915,51.5106904197085,-0.147231469708498,-0.149929430291502
the-mews,"The Mews, London",-0.143629,51.4987317,establishment,geometric_center,"buckingham palace rd, westminster, london sw1w 0qh, uk",51.5000806802915,51.4973827197085,-0.142280019708498,-0.144977980291502
